"id";"Pais";"Localidad";"Denominación Genérica";"Denominación Específica";"Código";"Naturaleza";"Tipo"
23180;"ESPAÑA";"Las Palmas de Gran Canaria";"Instituto de Educación Secundaria (IES)";"LA VEGA DE SAN JOSÉ";35009139;"Centro público";0
23181;"ESPAÑA";"La Lajita";"Colegio Público";"LA LAJITA";35009140;"Centro público";0
23182;"ESPAÑA";"Cruce de Sardina";"Colegio Público";"LOS LLANOS";35009152;"Centro público";0
23183;"ESPAÑA";"Tuineje";"Colegio Público";"TUINEJE";35009164;"Centro público";0
23184;"ESPAÑA";"Arrecife";"Instituto de Educación Secundaria (IES)";"CÉSAR MANRIQUE";35009191;"Centro público";0
23185;"ESPAÑA";"Haria";"Instituto de Educación Secundaria (IES)";"HARÍA";35009206;"Centro público";0
23186;"ESPAÑA";"Yaiza";"Instituto de Educación Secundaria (IES)";"YAIZA";35009218;"Centro público";0
23187;"ESPAÑA";"San Bartolome";"Instituto de Educación Secundaria (IES)";"SAN BARTOLOMÉ";35009221;"Centro público";0
23188;"ESPAÑA";"Arrecife";"Colegio Público";"MERCEDES MEDINA DÍAZ";35009255;"Centro público";0
23189;"ESPAÑA";"Ingenio";"Colegio Público";"BENITO PÉREZ GALDÓS";35009267;"Centro público";0
23190;"ESPAÑA";"Las Palmas de Gran Canaria";"Instituto de Educación Secundaria (IES)";"PABLO MONTESINO";35009322;"Centro público";0
23191;"ESPAÑA";"Galdar";"Instituto de Educación Secundaria (IES)";"ROQUE AMAGRO";35009334;"Centro público";0
23192;"ESPAÑA";"Casas Nuevas";"Instituto de Educación Secundaria (IES)";"CASAS NUEVAS";35009346;"Centro público";0
23193;"ESPAÑA";"Arucas";"Instituto de Educación Secundaria (IES)";"SANTIAGO SANTANA DÍAZ";35009358;"Centro público";0
23194;"ESPAÑA";"Puerto del Rosario";"Instituto de Educación Secundaria (IES)";"SANTO TOMÁS DE AQUINO";35009361;"Centro público";0
23195;"ESPAÑA";"Las Palmas de Gran Canaria";"Instituto de Educación Secundaria (IES)";"PRIMERO DE MAYO";35009383;"Centro público";0
23196;"ESPAÑA";"Las Palmas de Gran Canaria";"Instituto de Educación Secundaria (IES)";"FERIA DEL ATLÁNTICO";35009395;"Centro público";0
23197;"ESPAÑA";"Vecindario";"Instituto de Educación Secundaria (IES)";"JOSÉ ZERPA";35009401;"Centro público";0
23198;"ESPAÑA";"Quintanas y Piso Firme los";"Colegio Público";"LOS QUINTANA";35009413;"Centro público";0
23199;"ESPAÑA";"Playa Honda";"Colegio Público";"PLAYA HONDA";35009425;"Centro público";0
23200;"ESPAÑA";"Corralejo";"Colegio Público";"MARÍA CASTRILLO GARCÍA";35009437;"Centro público";0
23201;"ESPAÑA";"Tenoya";"Colegio Público";"LAS MESAS";35009449;"Centro público";0
23202;"ESPAÑA";"Puerto del Rosario";"Escuela Oficial de Idiomas (EOI)";"PUERTO DEL ROSARIO";35009450;"Centro público";0
23203;"ESPAÑA";"Jinamar";"Colegio Público";"HILDA ZUDÁN";35009462;"Centro público";0
